layer,checkpoint,policy,normalized_time
layer_09,490000,static_mean,1.1571597240157916
layer_09,490000,static_p95,1.3189499317418736
layer_09,490000,static_worst,1.27068959155813
layer_09,490000,oracle,1.1427701730435744
layer_09,490000,ecmp_p95,2.881867320960779
layer_09,final,ecmp,2.2853654091068494
layer_09,final,static_mean,1.1511286660883369
layer_09,final,static_p95,1.316451023459274
layer_09,final,static_worst,1.2759740859004411
layer_09,final,oracle,1.1445209398475424
layer_09,final,ecmp_p95,2.877923180568117
layer_10,490000,ecmp,2.3292040416732536
layer_10,490000,static_mean,1.1629269381340723
layer_10,490000,static_p95,1.1629269381340723
layer_10,490000,static_worst,1.2731753131422088
layer_10,490000,oracle,1.1939482420331229
layer_10,490000,ecmp_p95,2.8790810775625584
layer_10,final,ecmp,2.3405044928311876
layer_10,final,static_mean,1.16407988507366
layer_10,final,static_p95,1.16407988507366
layer_10,final,static_worst,1.2879449405181074
layer_10,final,oracle,1.132099565270462
layer_10,final,ecmp_p95,2.8883881205224267
layer_11,490000,ecmp,2.3055938219252043
layer_11,490000,static_mean,1.258040751705614
layer_11,490000,static_p95,1.1486252133447423
layer_11,490000,static_worst,1.1486252133447423
layer_11,490000,oracle,1.2125028026521096
layer_11,490000,ecmp_p95,2.849260786206833
layer_11,final,ecmp,2.417188078726266
layer_11,final,static_mean,1.415493781433974
layer_11,final,static_p95,1.1561269445202542
layer_11,final,static_worst,1.1561269445202542
layer_11,final,oracle,1.3593122538890405
layer_11,final,ecmp_p95,2.979726305119108
layer_12,490000,ecmp,2.3854381839658774
layer_12,490000,static_mean,1.3316737835819465
layer_12,490000,static_p95,1.2948509277521398
layer_12,490000,static_worst,1.2948509277521398
layer_12,490000,oracle,1.3391992034161193
layer_12,490000,ecmp_p95,2.8823554755567473
layer_12,final,ecmp,2.3937448470880924
layer_12,final,static_mean,1.3531462293943792
layer_12,final,static_p95,1.2984711219968468
layer_12,final,static_worst,1.2984711219968468
layer_12,final,oracle,1.326069033349887
layer_12,final,ecmp_p95,2.9152535835338247
layer_13,490000,ecmp,2.3344599750439707
layer_13,490000,static_mean,1.18088092208667
layer_13,490000,static_p95,1.2328044308060775
layer_13,490000,static_worst,1.2328044308060775
layer_13,490000,oracle,1.1768767307836239
layer_13,490000,ecmp_p95,2.8619396003293165
layer_13,final,ecmp,2.347380031812282
layer_13,final,static_mean,1.2304791502828285
layer_13,final,static_p95,1.2373200936129087
layer_13,final,static_worst,1.2373200936129087
layer_13,final,oracle,1.4072635279180603
layer_13,final,ecmp_p95,2.873139348689135
layer_14,490000,ecmp,2.1582733510679164
layer_14,490000,static_mean,1.150379020692481
layer_14,490000,static_p95,1.215956429693369
layer_14,490000,static_worst,1.1457693095677115
layer_14,490000,oracle,1.19172983678208
layer_14,490000,ecmp_p95,2.7981287987434267
layer_14,final,ecmp,2.1710310260266947
layer_14,final,static_mean,1.1725674586585413
layer_14,final,static_p95,1.2371967538820243
layer_14,final,static_worst,1.1828764259948024
layer_14,final,oracle,1.2077696514689849
layer_14,final,ecmp_p95,2.796109140588973
layer_15,490000,ecmp,2.347776514408825
layer_15,490000,static_mean,1.1480003174469793
layer_15,490000,static_p95,1.1558057784686917
layer_15,490000,static_worst,1.2407882021763792
layer_15,490000,oracle,1.1422115784117381
layer_15,490000,ecmp_p95,2.8596510884229884
layer_15,final,ecmp,2.435290576126479
layer_15,final,static_mean,1.1812053095535944
layer_15,final,static_p95,1.190473177213896
layer_15,final,static_worst,1.2935295291592233
layer_15,final,oracle,1.3284397953670397
layer_15,final,ecmp_p95,2.999240657901782
