layer,checkpoint,policy,normalized_time
layer_03,5400,ecmp,2.6108818703212866
layer_03,5400,static_mean,1.146148978592834
layer_03,5400,static_p95,1.6632400873956803
layer_03,5400,static_worst,1.6621416717408695
layer_03,5400,oracle,1.146148978592834
layer_03,5400,ecmp_p95,3.3351182587724013
layer_03,5473,ecmp,2.622904267360278
layer_03,5473,static_mean,1.1582153993763493
layer_03,5473,static_p95,1.6785799952026865
layer_03,5473,static_worst,1.6903813864236028
layer_03,5473,oracle,1.1473974574238426
layer_03,5473,ecmp_p95,3.359000959462701
layer_04,3780,ecmp,2.587977624835607
layer_04,3780,static_mean,1.1476088533465438
layer_04,3780,static_p95,1.1476088533465438
layer_04,3780,static_worst,1.5949941909496765
layer_04,3780,oracle,1.1425841722545602
layer_04,3780,ecmp_p95,3.3077558193709713
layer_04,4320,ecmp,2.5694615675594994
layer_04,4320,static_mean,1.1447770454572062
layer_04,4320,static_p95,1.1447770454572062
layer_04,4320,static_worst,1.6354526404514111
layer_04,4320,oracle,1.1447770454572062
layer_04,4320,ecmp_p95,3.2859015932850237
layer_04,4860,ecmp,2.5540397648033006
layer_04,4860,static_mean,1.1452844441861816
layer_04,4860,static_p95,1.1493055959091174
layer_04,4860,static_worst,1.69099889592655
layer_04,4860,oracle,1.1413097797664014
layer_04,4860,ecmp_p95,3.247080016270556
layer_04,5400,ecmp,2.6345437856467457
layer_04,5400,static_mean,1.1522353182083727
layer_04,5400,static_p95,1.1552225681918105
layer_04,5400,static_worst,1.6936743777064425
layer_04,5400,oracle,1.1588361770427429
layer_04,5400,ecmp_p95,3.381085166737935
layer_04,5473,ecmp,2.644235639465615
layer_04,5473,static_mean,1.148262160642036
layer_04,5473,static_p95,1.1619302203218647
layer_04,5473,static_worst,1.692686378508488
layer_04,5473,oracle,1.654875445270307
layer_04,5473,ecmp_p95,3.3884510943519466
layer_05,3780,ecmp,2.600112289316267
layer_05,3780,static_mean,1.1506963012147478
layer_05,3780,static_p95,1.6360736792805184
layer_05,3780,static_worst,1.6398204853062361
layer_05,3780,oracle,1.6369036679571014
layer_05,3780,ecmp_p95,3.3400641462677187
layer_05,4320,ecmp,2.61153010175493
layer_05,4320,static_mean,1.154080927060731
layer_05,4320,static_p95,1.6199718638975655
layer_05,4320,static_worst,1.657359498318987
layer_05,4320,oracle,1.1440425379718162
layer_05,4320,ecmp_p95,3.352875605045423
layer_05,4860,ecmp,2.598779821721834
layer_05,4860,static_mean,1.1554938963294974
layer_05,4860,static_p95,1.6252186234577783
layer_05,4860,static_worst,1.6252186234577783
layer_05,4860,oracle,1.1554938963294974
layer_05,4860,ecmp_p95,3.33519496765855
layer_05,5400,ecmp,2.622016067802397
layer_05,5400,static_mean,1.156408551524191
layer_05,5400,static_p95,1.6540454412037786
layer_05,5400,static_worst,1.6540454412037786
layer_05,5400,oracle,1.6121623807213328
layer_05,5400,ecmp_p95,3.36010926015778
layer_05,5473,ecmp,2.623458236674579
layer_05,5473,static_mean,1.15319138733036
layer_05,5473,static_p95,1.6520404737927397
layer_05,5473,static_worst,1.6538147988299046
layer_05,5473,oracle,1.1425933918381048
layer_05,5473,ecmp_p95,3.3578921498105787
layer_06,3780,ecmp,2.6124909969702204
layer_06,3780,static_mean,1.6251525306698253
layer_06,3780,static_p95,1.6357240221667986
layer_06,3780,static_worst,1.6382954660444407
layer_06,3780,oracle,1.6123905499437496
layer_06,3780,ecmp_p95,3.3689069577795108
layer_06,4320,ecmp,2.6259835212664586
layer_06,4320,static_mean,1.6131943736927585
layer_06,4320,static_p95,1.6707040075752582
layer_06,4320,static_worst,1.692063358883848
layer_06,4320,oracle,1.14168249839685
layer_06,4320,ecmp_p95,3.378265481634194
layer_06,4860,ecmp,2.575873355648658
layer_06,4860,static_mean,1.6024375952185632
layer_06,4860,static_p95,1.6130786358842142
layer_06,4860,static_worst,1.6279151529356615
layer_06,4860,oracle,1.6160553146607288
layer_06,4860,ecmp_p95,3.3187448728465956
layer_06,5400,ecmp,2.614585505385697
layer_06,5400,static_mean,1.6348926435192908
layer_06,5400,static_p95,1.6382765769844863
layer_06,5400,static_worst,1.6405166456163762
layer_06,5400,oracle,1.1380740175869217
layer_06,5400,ecmp_p95,3.3713866978052094
layer_06,5473,ecmp,2.611789005809835
layer_06,5473,static_mean,1.6395878350625925
layer_06,5473,static_p95,1.6384687274913536
layer_06,5473,static_worst,1.6415403206124137
layer_06,5473,oracle,1.6369448363305177
