layer,checkpoint,matrix_cosine_vs_final,matrix_norm_l1_vs_final,rank1_residual
layer_05,4320,0.9998216610411498,0.014962666666666676,0.030908062733641696
layer_05,4860,0.9998789416529914,0.011987999999999999,0.030250503889364528
layer_05,5400,0.9999704033667782,0.006794666666666669,0.028842580171402475
layer_05,5473,1.0,0.0,0.029120681412124726
layer_06,540,0.9991975405557136,0.032012,0.028023841335283236
layer_06,1080,0.9997875123171676,0.01642,0.02984183305542833
layer_06,1620,0.9997441867811443,0.01791599999999999,0.032753081909512795
layer_06,2160,0.9999039696383614,0.010986666666666667,0.029236951619857465
layer_06,2700,0.9998681998088131,0.013161333333333339,0.028523025927491636
layer_06,3240,0.9998750554783598,0.012186666666666665,0.02863449799953353
layer_06,3780,0.9999439403856899,0.00785866666666668,0.02852235871347553
layer_06,4320,0.9999099399715079,0.010922666666666673,0.0291497822491565
layer_06,4860,0.9998800852764451,0.011601333333333326,0.030574357641850264
layer_06,5400,0.9999850901486158,0.004511999999999999,0.029707730614040903
layer_06,5473,1.0,0.0,0.029754688787853575
layer_07,540,0.9995437002528068,0.02439066666666667,0.0334469911090137
layer_07,1080,0.9996568603818822,0.020224000000000006,0.02969003012998062
layer_07,1620,0.9998337886548144,0.013665333333333335,0.029478573052885173
layer_07,2160,0.9999058726320209,0.011073333333333333,0.02739337201253119
layer_07,2700,0.9997913914595209,0.014607999999999998,0.028903199198469502
layer_07,3240,0.9997820393404562,0.014629333333333328,0.028533192366510935
layer_07,3780,0.9999557938590066,0.007642666666666659,0.028892596156306745
layer_07,4320,0.9999534919877417,0.007700000000000002,0.029232071027410447
layer_07,4860,0.9999137914317432,0.010239999999999999,0.028619243539126645
layer_07,5400,0.9999961029446517,0.0023960000000000023,0.028259647744892334
layer_07,5473,1.0000000000000002,0.0,0.028214921282275776
layer_08,540,0.9991126212814322,0.03322933333333332,0.02832728656857768
layer_08,1080,0.9994308063020462,0.026050666666666673,0.03033795124342091
layer_08,1620,0.999616254233833,0.019406666666666666,0.03162581202116414
layer_08,2160,0.9997027713883765,0.021226666666666665,0.03114509385128707
layer_08,2700,0.999823247063732,0.014935999999999982,0.03218699284721781
layer_08,3240,0.9999072397151015,0.010063999999999981,0.03432981375948118
layer_08,3780,0.9998844745247109,0.012685333333333331,0.03145609245343925
layer_08,4320,0.9998894520371722,0.011942666666666678,0.033136244160654096
layer_08,4860,0.9999012722198183,0.01189733333333333,0.03296511227759102
layer_08,5400,0.999989455763822,0.0038640000000000133,0.03241941526493986
layer_08,5473,1.0000000000000002,0.0,0.03249447909848334
layer_09,540,0.999262077080194,0.03144266666666667,0.03248091157834753
layer_09,1080,0.9998281426079317,0.014870666666666657,0.03406872051624636
layer_09,1620,0.9997757505275386,0.017336000000000004,0.035824748281589956
layer_09,2160,0.9998238697375845,0.01555466666666666,0.035328587716206346
layer_09,2700,0.999882542686633,0.012562666666666672,0.035395070981039604
layer_09,3240,0.9999331668992435,0.009588000000000006,0.037418795147478597
layer_09,3780,0.9998766643631567,0.012069333333333316,0.035505368175800196
layer_09,4320,0.999907226372662,0.011724000000000004,0.03664877174008668
layer_09,4860,0.9998941069421587,0.012690666666666676,0.03770956918965821
layer_09,5400,0.9999934286608841,0.003017333333333332,0.037091842340820115
layer_09,5473,0.9999999999999998,0.0,0.03711597860058276
