layer,checkpoint,cosine_vs_final,norm_l1_vs_final,cosine_vs_next,norm_l1_vs_next
layer_07,540,0.9975792742488528,0.05717200000000001,0.997510203969794,0.05518666666666666
layer_07,1080,0.9988772664735477,0.036405333333333324,0.9990113986566909,0.034679999999999996
layer_07,1620,0.9991539879958161,0.03261066666666666,0.9988762767035122,0.03601466666666667
layer_07,2160,0.9992562586622072,0.030669333333333344,0.9985827920373083,0.03933333333333333
layer_07,2700,0.9993572034137703,0.027088,0.9990567453561108,0.03433466666666665
layer_07,3240,0.9992162336667972,0.03142133333333332,0.9987161045884999,0.03804399999999998
layer_07,3780,0.999621758442232,0.021745333333333332,0.9993731925628841,0.028622666666666654
layer_07,4320,0.9996859349832459,0.019984000000000002,0.9994712178022316,0.024133333333333305
layer_07,4860,0.9996159452916565,0.021181333333333344,0.999528822076744,0.022164000000000003
layer_07,5400,0.9999292628544385,0.00786666666666667,0.9999292628544385,0.00786666666666667
layer_07,5473,1.0,0.0,,
layer_08,540,0.9961042584752885,0.06756000000000001,0.9968210689468701,0.06497333333333334
layer_08,1080,0.9973457428653351,0.05037199999999999,0.9987503617474879,0.040098666666666685
layer_08,1620,0.9979915964476207,0.03640399999999998,0.9983752320293247,0.03975733333333334
layer_08,2160,0.9990176115915129,0.03261866666666666,0.9986040575681613,0.03730133333333334
layer_08,2700,0.9986552918919962,0.03344266666666666,0.9990255431278598,0.030472000000000013
layer_08,3240,0.9994166808360204,0.02608399999999999,0.9994730478119549,0.024418666666666665
layer_08,3780,0.9994231463347397,0.025063999999999996,0.9991774699051726,0.029368000000000012
layer_08,4320,0.9994338163070587,0.025639999999999996,0.998880459873943,0.03229733333333333
layer_08,4860,0.9994829378064292,0.021862666666666655,0.9993714320597941,0.026511999999999994
layer_08,5400,0.9999131702868214,0.010193333333333346,0.9999131702868214,0.010193333333333346
layer_08,5473,1.0000000000000002,0.0,,
layer_09,540,0.9947794360320469,0.08136266666666667,0.9955694789747497,0.07138933333333332
layer_09,1080,0.9983936615698717,0.046934666666666666,0.9983757665857907,0.039562666666666677
layer_09,1620,0.9984630365381528,0.04155599999999999,0.9985422894359149,0.042317333333333346
layer_09,2160,0.9989563839124422,0.03618133333333334,0.998700838080826,0.036589333333333335
layer_09,2700,0.9990558500499551,0.03442266666666667,0.9990349270173868,0.034732
layer_09,3240,0.9993887376757272,0.025108,0.9986809864348201,0.03561866666666666
layer_09,3780,0.9993485709861611,0.027299999999999998,0.9990750373255485,0.03214666666666666
layer_09,4320,0.9994536163890774,0.02612266666666666,0.9987488525684728,0.03745333333333332
layer_09,4860,0.9994726537146877,0.024755999999999986,0.9993693684552085,0.02680666666666666
layer_09,5400,0.9998842312529391,0.01171866666666667,0.9998842312529391,0.01171866666666667
layer_09,5473,1.0,0.0,,
