layer,expert_id,traffic_share_pct
layer_07,29,1.5520333333333334
layer_07,30,1.6930333333333334
layer_07,31,1.6801666666666666
layer_07,32,1.5363666666666667
layer_07,33,1.201
layer_07,34,1.5720666666666667
layer_07,35,1.5336666666666667
layer_07,36,1.5499333333333334
layer_07,37,1.6545
layer_07,38,1.6038666666666668
layer_07,39,1.5097
layer_07,40,1.5011333333333334
layer_07,41,1.5588666666666666
layer_07,42,1.5805
layer_07,43,1.5864666666666667
layer_07,44,1.5445666666666666
layer_07,45,1.5193333333333334
layer_07,46,1.5470666666666666
layer_07,47,1.5660666666666667
layer_07,48,1.497
layer_07,49,1.6494666666666666
layer_07,50,1.6316
layer_07,51,1.5672666666666666
layer_07,52,1.5488666666666666
layer_07,53,1.5378333333333334
layer_07,54,1.6931333333333334
layer_07,55,1.6206
layer_07,56,1.6114666666666666
layer_07,57,1.6067333333333333
layer_07,58,1.5300333333333334
layer_07,59,1.537
layer_07,60,1.5706666666666667
layer_07,61,1.5659333333333334
layer_07,62,1.4315
layer_07,63,1.5570333333333333
layer_08,0,1.5770666666666666
layer_08,1,1.5219333333333334
layer_08,2,1.6254
layer_08,3,1.5946
layer_08,4,1.4964
layer_08,5,1.5271
layer_08,6,1.5728
layer_08,7,1.5791
layer_08,8,1.5395666666666667
layer_08,9,1.6556
layer_08,10,1.5034333333333334
layer_08,11,1.7986
layer_08,12,1.4949333333333332
layer_08,13,1.7552666666666668
layer_08,14,1.6671333333333334
layer_08,15,1.4302333333333332
layer_08,16,1.4619333333333333
layer_08,17,1.5922666666666667
layer_08,18,1.4795
layer_08,19,1.4816333333333334
layer_08,20,1.6378
layer_08,21,1.5397333333333334
layer_08,22,1.5704333333333333
layer_08,23,1.7093
layer_08,24,1.5826333333333333
layer_08,25,1.4186666666666667
layer_08,26,1.6218333333333332
layer_08,27,1.6334
layer_08,28,1.5615333333333334
layer_08,29,1.5322333333333333
layer_08,30,1.6310333333333333
layer_08,31,1.5940666666666667
layer_08,32,1.5645333333333333
layer_08,33,1.5392
layer_08,34,1.5987
layer_08,35,1.4657666666666667
layer_08,36,1.6495
layer_08,37,1.5183666666666666
layer_08,38,1.5394333333333334
layer_08,39,1.5413666666666668
layer_08,40,1.4093333333333333
layer_08,41,1.6407666666666667
layer_08,42,1.6398
layer_08,43,1.5037666666666667
layer_08,44,1.4298666666666666
layer_08,45,1.5504666666666667
layer_08,46,1.4713666666666667
layer_08,47,1.5281333333333333
layer_08,48,1.5982333333333334
layer_08,49,1.6072333333333333
layer_08,50,1.5368
layer_08,51,1.5064666666666666
layer_08,52,1.5065666666666666
layer_08,53,1.6037666666666666
layer_08,54,1.5663
layer_08,55,1.6598666666666666
layer_08,56,1.6829666666666667
layer_08,57,1.5011333333333334
layer_08,58,1.6507666666666667
layer_08,59,1.4924666666666666
layer_08,60,1.4613333333333334
layer_08,61,1.4987
layer_08,62,1.5577333333333334
layer_08,63,1.5921333333333334
layer_09,0,1.4397333333333333
layer_09,1,1.6871
layer_09,2,1.59
layer_09,3,1.4945
layer_09,4,1.477
layer_09,5,1.5049666666666666
layer_09,6,1.8398
layer_09,7,1.4355333333333333
layer_09,8,1.4720666666666666
layer_09,9,1.5792
layer_09,10,1.4349
layer_09,11,1.7429
layer_09,12,1.7001333333333333
layer_09,13,1.6289
layer_09,14,1.6463333333333334
layer_09,15,1.5540333333333334
layer_09,16,1.5177333333333334
layer_09,17,1.6747666666666667
layer_09,18,1.4538666666666666
layer_09,19,1.6876333333333333
layer_09,20,1.4792666666666667
layer_09,21,1.6464666666666667
layer_09,22,1.5869
layer_09,23,1.4937
layer_09,24,1.4879666666666667
layer_09,25,1.4977666666666667
layer_09,26,1.4538
layer_09,27,1.4037
layer_09,28,1.5360333333333334
layer_09,29,1.5230666666666666
layer_09,30,1.4276
layer_09,31,1.7097333333333333
layer_09,32,1.5145666666666666
layer_09,33,1.5821
layer_09,34,1.5849333333333333
layer_09,35,1.6940333333333333
layer_09,36,1.5953
layer_09,37,1.4541666666666666
layer_09,38,1.5493333333333332
layer_09,39,1.6100666666666668
layer_09,40,1.654
layer_09,41,1.5882666666666667
layer_09,42,1.6807
layer_09,43,1.5854333333333333
layer_09,44,1.523
layer_09,45,1.7876333333333334
layer_09,46,1.6269666666666667
layer_09,47,1.4599
layer_09,48,1.6627
layer_09,49,1.5624666666666667
layer_09,50,1.5029
layer_09,51,1.4465666666666666
layer_09,52,1.8063666666666667
layer_09,53,1.6225333333333334
layer_09,54,1.6417
layer_09,55,1.2425
layer_09,56,1.5562333333333334
layer_09,57,1.5372666666666666
layer_09,58,1.5293
layer_09,59,1.5370333333333333
layer_09,60,1.5307
layer_09,61,1.4431333333333334
layer_09,62,1.5243333333333333
layer_09,63,1.5567666666666666
